"","x"
"1",7
"2",9
"3",13
"4",14
"5",26
"6",29
"7",52
"8",130
"9",9
"10",37
"11",41
"12",49
"13",52
"14",119
"15",3
"16",17
"17",19
"18",28
"19",72
"20",99
"21",104
"22",114
"23",152
"24",153
"25",216
"26",15
"27",61
"28",98
"29",2
"30",25
"31",85
"32",3
"33",10
"34",1
"35",2
"36",3
"37",3
"38",3
"39",4
"40",8
"41",11
"42",22
"43",23
"44",27
"45",32
"46",33
"47",35
"48",43
"49",43
"50",44
"51",100
"52",5
"53",49
"54",2
"55",12
"56",12
"57",21
"58",21
"59",27
"60",38
"61",42
"62",117
