"","x"
"1",28
"2",27
"3",31
"4",10
"5",16
"6",34
"7",18
"8",48
"9",34
"10",14
"11",28
"12",36
"13",30
"14",50
"15",21
"16",32
"17",14
"18",43
"19",35
"20",32
"21",36
"22",20
"23",19
"24",14
"25",24
"26",28
"27",23
"28",29
"29",24
"30",43
"31",27
"32",34
"33",31
"34",26
"35",26
"36",60
"37",41
"38",30
"39",22
"40",26
"41",40
"42",31
"43",42
"44",31
"45",35
"46",34
"47",17
"48",32
"49",37
"50",19
"51",31
"52",21
"53",38
"54",43
"55",27
"56",19
"57",20
"58",35
"59",25
"60",35
"61",30
"62",21
"63",43
"64",41
"65",31
"66",26
"67",24
"68",32
"69",37
"70",36
"71",16
"72",26
"73",30
"74",25
"75",32
"76",41
"77",32
"78",20
"79",35
"80",18
"81",25
"82",35
"83",22
"84",33
"85",18
"86",23
"87",43
"88",30
"89",8
"90",32
"91",27
"92",31
"93",47
"94",20
"95",20
"96",29
"97",35
"98",37
"99",31
"100",20
"101",31
"102",27
"103",34
"104",31
"105",26
"106",26
"107",32
"108",24
"109",31
"110",32
"111",28
"112",26
"113",24
"114",32
"115",30
"116",22
"117",37
"118",53
"119",37
"120",34
"121",56
"122",23
"123",17
"124",24
"125",24
"126",25
"127",20
"128",34
"129",33
"130",49
"131",31
"132",40
"133",33
"134",17
"135",28
"136",45
"137",30
"138",41
"139",48
"140",25
"141",44
"142",30
"143",34
"144",35
"145",31
"146",28
"147",21
"148",35
"149",30
"150",63
"151",32
"152",25
"153",46
"154",8
"155",44
"156",36
"157",19
"158",25
"159",14
"160",39
"161",25
"162",32
"163",23
"164",33
"165",27
"166",53
"167",29
"168",39
"169",35
"170",27
"171",20
"172",28
"173",18
"174",20
"175",30
"176",22
"177",38
"178",34
"179",27
"180",39
"181",36
"182",24
"183",14
"184",14
"185",26
"186",28
"187",19
"188",36
"189",47
"190",26
"191",34
"192",24
"193",41
"194",15
"195",30
"196",27
"197",35
"198",28
"199",23
"200",22
"201",29
"202",30
"203",20
"204",23
"205",23
"206",27
"207",44
"208",34
"209",31
"210",33
"211",31
"212",30
"213",28
"214",28
"215",37
"216",23
"217",30
"218",37
"219",38
"220",30
"221",27
"222",23
"223",30
"224",33
"225",31
"226",23
"227",31
"228",25
"229",32
"230",19
"231",32
"232",34
"233",25
"234",39
"235",31
"236",42
"237",29
"238",27
"239",31
"240",47
"241",46
"242",36
"243",41
"244",17
"245",37
"246",40
"247",33
"248",27
"249",26
"250",25
"251",28
"252",46
"253",22
"254",18
"255",13
"256",32
"257",29
"258",46
