"","x"
"1",4.68817357108764
"2",4.71854735541993
"3",1.54354449789804
"4",3.10713825603868
"5",7.45111090159757
"6",2.32724411438407
"7",1.95541998349514
"8",3.01272616602888
"9",5.29810205823219
"10",5.91851206301743
"11",2.63560834295235
"12",6.43795718288574
"13",1.99943793999197
"14",3.58945195817929
"15",3.06750435203385
"16",6.10162343234204
"17",3.97207864446869
"18",8.02108962993207
"19",5.16384059411574
"20",6.29631816696497
"21",3.10406807009271
"22",11.5485586800073
"23",6.01729397511916
"24",4.00645146550261
"25",7.90298150340923
"26",2.30985499480367
"27",2.60284234451348
"28",10.7999052126914
"29",5.13473270123193
"30",4.0617416553128
"31",6.41948075827539
"32",6.78220644713622
"33",1.56350021342031
"34",1.43105572205376
